"comprimento_asa","peso","local"
"1",22.03,89.06,"islandia"
"2",24.83,100.49,"islandia"
"3",21.62,87.37,"islandia"
"4",19.47,77.55,"islandia"
"5",23.02,90.96,"islandia"
"6",18.51,73.81,"islandia"
"7",25.84,105.08,"islandia"
"8",24.13,100.62,"islandia"
"9",23.95,98.34,"islandia"
"10",20.55,84.29,"islandia"
"11",21.18,86.45,"islandia"
"12",20.49,85.93,"islandia"
"13",22.58,92.45,"islandia"
"14",25.11,99.14,"islandia"
"15",22.2,92,"islandia"
"16",20.98,86.22,"islandia"
"17",21.51,90.17,"islandia"
"18",25.95,104.79,"islandia"
"19",25.1,103.86,"islandia"
"20",23.21,94.4,"islandia"
"21",25.3,103.78,"islandia"
"22",22.83,93.85,"islandia"
"23",21.06,87.31,"islandia"
"24",22.55,92.39,"islandia"
"25",21.14,88.23,"islandia"
"26",22.47,89.61,"islandia"
"27",23.35,96.81,"islandia"
"28",22.43,90.31,"islandia"
"29",21.64,89.96,"islandia"
"30",19.34,75.65,"islandia"
"31",17.77,72.17,"islandia"
"32",20.11,83.82,"islandia"
"33",23.27,97.8,"islandia"
"34",21.55,89.99,"islandia"
"35",23.78,96.03,"islandia"
"36",20,82.93,"islandia"
"37",20.91,85.61,"islandia"
"38",21.39,90.33,"islandia"
"39",24.07,101.16,"islandia"
"40",20.62,82.65,"islandia"
"41",20.92,82.91,"islandia"
"42",19.3,79.78,"islandia"
"43",19.39,80.85,"islandia"
"44",26.35,108.23,"islandia"
"45",20.76,86.1,"islandia"
"46",20.97,85.75,"islandia"
"47",23.53,94.96,"islandia"
"48",22.72,96.96,"islandia"
"49",21.57,85.02,"islandia"
"50",22,90.82,"islandia"
"51",28.76,120.18,"noruega"
"52",33.28,139.75,"noruega"
"53",35.55,154.26,"noruega"
"54",30.1,121.93,"noruega"
"55",33.05,135.54,"noruega"
"56",30.41,122.73,"noruega"
"57",31.86,127.42,"noruega"
"58",34.44,149.31,"noruega"
"59",35.2,146.75,"noruega"
"60",29.3,126.84,"noruega"
"61",32.82,129.11,"noruega"
"62",29.5,126.15,"noruega"
"63",31.17,126.33,"noruega"
"64",34.84,140.17,"noruega"
"65",33.68,138.97,"noruega"
"66",38.99,159.11,"noruega"
"67",29.73,125.97,"noruega"
"68",30.7,125.78,"noruega"
"69",31.47,127.99,"noruega"
"70",31.62,129.29,"noruega"
"71",31.74,132.29,"noruega"
"72",31.71,128.56,"noruega"
"73",31.85,128.5,"noruega"
"74",30.31,122.62,"noruega"
"75",30.29,124.95,"noruega"
"76",36.23,141.36,"noruega"
"77",31.6,131.07,"noruega"
"78",32.4,130.25,"noruega"
"79",32.83,135.64,"noruega"
"80",30.56,128.73,"noruega"
"81",30.61,127.38,"noruega"
"82",29.57,119.05,"noruega"
"83",31.13,122.13,"noruega"
"84",27.53,110.4,"noruega"
"85",30.12,120.95,"noruega"
"86",32.05,122.83,"noruega"
"87",35.69,141.7,"noruega"
"88",34.02,143.19,"noruega"
"89",31.18,120.6,"noruega"
"90",28.01,111.17,"noruega"
"91",30.1,116.74,"noruega"
"92",32.6,141.35,"noruega"
"93",31.19,125.65,"noruega"
"94",32.6,129.55,"noruega"
"95",34.03,145.52,"noruega"
"96",28.84,117.24,"noruega"
"97",31.92,133.08,"noruega"
"98",31.5,132.73,"noruega"
"99",31.58,127.23,"noruega"
"100",34.17,141.94,"noruega"
"101",38.63,192.44,"dinamarca"
"102",34.94,177.58,"dinamarca"
"103",38.81,196.4,"dinamarca"
"104",37.74,190.86,"dinamarca"
"105",35.99,184.41,"dinamarca"
"106",37.81,197.86,"dinamarca"
"107",40.25,209.75,"dinamarca"
"108",36.41,190.91,"dinamarca"
"109",38.39,198.52,"dinamarca"
"110",40.61,207.59,"dinamarca"
"111",36.78,182.54,"dinamarca"
"112",39.86,205.25,"dinamarca"
"113",39.15,199.47,"dinamarca"
"114",36.95,191.02,"dinamarca"
"115",36.95,187.68,"dinamarca"
"116",36.86,189.83,"dinamarca"
"117",40.94,214.2,"dinamarca"
"118",36.06,178.28,"dinamarca"
"119",37.58,189.85,"dinamarca"
"120",36.85,187.49,"dinamarca"
"121",36.71,190.83,"dinamarca"
"122",38.17,199.29,"dinamarca"
"123",37.83,189.55,"dinamarca"
"124",32.28,167.28,"dinamarca"
"125",36.87,188.46,"dinamarca"
"126",40.46,202.27,"dinamarca"
"127",37.56,193.32,"dinamarca"
"128",36,183.12,"dinamarca"
"129",34.17,174.91,"dinamarca"
"130",36.66,184.44,"dinamarca"
"131",34.48,182.96,"dinamarca"
"132",40.25,209.39,"dinamarca"
"133",37.28,186.54,"dinamarca"
"134",41.47,215.95,"dinamarca"
"135",39.1,206.03,"dinamarca"
"136",36.52,190.61,"dinamarca"
"137",39.39,200.09,"dinamarca"
"138",35.6,178.4,"dinamarca"
"139",37.95,188.4,"dinamarca"
"140",39.82,201.53,"dinamarca"
"141",37.76,193.91,"dinamarca"
"142",37.55,195.3,"dinamarca"
"143",38.25,199.62,"dinamarca"
"144",39.18,197.62,"dinamarca"
"145",36.21,191.83,"dinamarca"
"146",37.48,191.04,"dinamarca"
"147",37.94,193.13,"dinamarca"
"148",39.43,200.98,"dinamarca"
"149",37.79,197.15,"dinamarca"
"150",39,203.56,"dinamarca"
